id,country,region,state,short_state,postcode,suburb,cost_per_palet,cost_per_1_1000,cost_per_2_1000,cost_per_1_1500,cost_per_1_2000,note,lat,lon
82a364ad-5b08-4a05-badf-c75c6c2a7409,Australia,AUS-Canberra,Australian Capital T,ACT,2601,Canberra,,243.5,300.32,300.32,300.32,,-35.2809368,149.1300092
3b5bcd5e-9a29-4f17-a736-70c40d870197,Australia,AUS-Canberra,Australian Capital T,ACT,2614,Cook,,243.5,300.32,300.32,300.32,,-35.259722,149.063889
5d9f8e21-2c8d-4f00-a73a-a6c4cc5a7c3e,Australia,AUS-Canberra,Australian Capital T,ACT,2600,Curtin,,243.5,300.32,300.32,300.32,,-35.325,149.077778
87d0c42b-feca-432f-9a7a-d023c63ca9b5,Australia,AUS-Canberra,Australian Capital T,ACT,2618,Hall,,243.5,300.32,300.32,300.32,,-35.1679431,149.0616656
03ace99c-6823-41a0-8601-64e575c6c2ba,Australia,AUS-Canberra,Australian Capital T,ACT,2902,Kambah,,243.5,300.32,300.32,300.32,,-35.383968,149.0640013
1b7aaea6-d487-4b2f-8312-8450b5525914,Australia,AUS-Canberra,Australian Capital T,ACT,2603,Manuka,,243.5,300.32,300.32,300.32,,-35.3182622,149.1330477
e91c8e72-8483-4f46-8e39-b8f17ed9963d,Australia,AUS-Canberra,Australian Capital T,ACT,2911,Mitchell,,243.5,300.32,300.32,300.32,,-35.215278,149.140833
fdfddcd2-1705-443a-b618-c7101f0b21d9,Australia,AUS-Canberra,Australian Capital T,ACT,2582,Murrumbateman,,284.09,340.9,340.9,340.9,,-34.9729427,149.0228616
a6251baa-9f39-4196-a331-005adf5abe43,Australia,AUS-Canberra,Australian Capital T,ACT,2606,Phillip,,243.5,300.32,300.32,300.32,,-35.349444,149.090278
a0ec798a-1e1e-46d2-bece-5f11a958996d,Australia,AUS-Canberra,Australian Capital T,ACT,2609,Pialligo,,243.5,300.32,300.32,300.32,,-35.306389,149.18
9aa5717c-32d4-4c5f-8d19-4406bf98fc34,Australia,AUS-Canberra,Australian Capital T,ACT,2618,via Hall,,243.5,300.32,300.32,300.32,,-35.1679431,149.0616656
0fff5020-1539-4500-8278-3f77f55cb3a1,Australia,AUS-Canberra,Australian Capital T,ACT,2611,Weston,,243.5,300.32,300.32,300.32,,-35.338,149.059
a6a790cb-5918-4065-bbcc-177ab88c1a20,Australia,AUS Northern Rivers,New South Wales,NSW,2444,Port Macquarie,,267.48,324.68,324.68,324.68,,-31.433333,152.9
bafac1ee-792e-45b9-8174-f3c5e0db3e9c,Australia,AUS-ACT,New South Wales,NSW,2577,Sutton Forest,,227.27,284.09,284.09,284.09,,-34.5667,150.3167
